"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","Sold In Aus","screensize_inch","GeneralSize"
"LG","OLED55B1PVA","Australia,New Zealand",138.783,"OLED",106,"N/A","N/A",389,1,55,"Large"
"LG","OLED65B1PVA","Australia,New Zealand",163.897,"OLED",125,"N/A","N/A",459,1,65,"Large"
"LG","OLED83C1PTA","Australia,New Zealand",209.585,"OLED",200,"N/A","N/A",732,1,83,"Large"
"LG","OLED83C1PVA","Australia,New Zealand",209.585,"OLED",200,"N/A","N/A",732,1,83,"Large"
"SAMSUNG ELECTRONICS","QA85QN90AAW","Australia,Fiji,New Zealand",214.783,"LCD (LED)",258,"N/A","N/A",945,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85QN90AAS","Australia,Fiji,New Zealand",214.783,"LCD (LED)",258,"N/A","N/A",945,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85QN90AA","Australia,Fiji,New Zealand",214.783,"LCD (LED)",258,"N/A","N/A",945,1,85,"Large"
"BAUHN","ATV70UHDW-0321","Australia",176.57,"LCD",99.75,"N/A","N/A",405,1,70,"Large"
"Altius","AT24CFHD-BCF","Australia,Fiji,New Zealand",60.47,"LCD (LED)",14.83,"N/A","N/A",67,1,24,"Medium"
"SAMSUNG ELECTRONICS","QA55Q60AAW","Australia,Fiji,New Zealand",138.798,"LCD (LED)",85,"N/A","N/A",313,1,55,"Large"
"SAMSUNG ELECTRONICS","QA55Q60AAS","Australia,Fiji,New Zealand",138.798,"LCD (LED)",85,"N/A","N/A",313,1,55,"Large"
"SAMSUNG ELECTRONICS","QA65Q60AAW","Australia,Fiji,New Zealand",163.829,"LCD (LED)",117,"N/A","N/A",430,1,64,"Large"
"SAMSUNG ELECTRONICS","QA65Q60AAS","Australia,Fiji,New Zealand",163.829,"LCD (LED)",117,"N/A","N/A",430,1,64,"Large"
"SAMSUNG ELECTRONICS","QA55Q70AAW","Australia,Fiji,New Zealand",138.711,"LCD (LED)",112,"N/A","N/A",412,1,55,"Large"
"SAMSUNG ELECTRONICS","QA55Q70AAS","Australia,Fiji,New Zealand",138.711,"LCD (LED)",112,"N/A","N/A",412,1,55,"Large"
"SAMSUNG ELECTRONICS","QA65Q70AAW","Australia,Fiji,New Zealand",163.829,"LCD (LED)",148,"N/A","N/A",543,1,64,"Large"
